timestamp,steering,speed,throttle
1745558095.1896188,-0.25,9.15,0.09
1745558095.9710555,-0.25,9.15,0.09
1745558096.7698576,-0.25,9.15,0.09
1745558097.5417428,-0.25,9.15,0.09
1745558098.3396807,-0.25,9.15,0.09
1745558099.1262805,-0.25,9.15,0.09
1745558099.8897982,-0.25,9.15,0.09
1745558100.7130375,-0.25,9.15,0.09
1745558101.5052423,-0.25,9.15,0.09
1745558102.260472,-0.25,9.15,0.09
1745558103.0690193,-0.25,9.15,0.09
1745558103.8684871,-0.25,9.15,0.09
1745558104.6591647,-0.25,9.15,0.09
1745558105.418651,-0.25,9.15,0.09
1745558106.2096045,-0.25,9.15,0.09
1745558106.9931564,-0.25,9.15,0.09
1745558107.7815921,-0.25,9.15,0.09
1745558108.5697463,-0.25,9.15,0.09
1745558109.37307,-0.25,9.15,0.09
1745558110.1353893,-0.25,9.15,0.09
1745558110.9118738,-0.25,9.15,0.09
1745558111.671915,-0.25,9.15,0.09
1745558112.4836574,-0.25,9.15,0.09
1745558113.2504377,-0.25,9.15,0.09
1745558114.0629458,-0.25,9.15,0.09
1745558114.8594398,-0.25,9.15,0.09
1745558115.702402,-0.25,9.15,0.09
1745558116.473589,-0.25,9.15,0.09
1745558117.256373,-0.25,9.15,0.09
1745558118.0192523,-0.25,9.15,0.09
1745558118.8624353,-0.25,9.15,0.09
1745558119.716583,-0.25,9.15,0.09
1745558120.5235486,-0.25,9.15,0.09
1745558121.3138673,-0.25,9.15,0.09
1745558122.092447,-0.25,9.15,0.09
1745558122.8896966,-0.25,9.15,0.09
1745558123.648149,-0.25,9.15,0.09
1745558124.510291,-0.25,9.15,0.09
1745558125.3508275,-0.25,9.15,0.09
1745558126.1449142,-0.25,9.15,0.09
1745558126.9834993,-0.25,9.15,0.09
1745558127.7888253,-0.25,9.15,0.09
1745558128.5834906,-0.25,9.15,0.09
1745558129.4146893,-0.25,9.15,0.09
1745558130.2243962,-0.25,9.15,0.09
1745558131.0119643,-0.25,9.15,0.09
1745558131.796882,-0.25,9.15,0.09
1745558132.5685303,-0.25,9.15,0.09
1745558133.343086,-0.25,9.15,0.09
1745558134.1824486,-0.25,9.15,0.09
1745558135.0067577,-0.25,9.15,0.09
1745558135.7991946,-0.25,9.15,0.09
1745558136.5910685,-0.25,9.15,0.09
1745558137.4149513,-0.25,9.15,0.09
1745558138.2062395,-0.25,9.15,0.09
1745558138.9825366,-0.25,9.15,0.09
1745558139.8086755,-0.25,9.15,0.09
1745558140.6241252,-0.25,9.15,0.09
1745558141.4472845,-0.25,9.15,0.09
1745558142.2330606,-0.25,9.15,0.09
1745558143.0605848,-0.25,9.15,0.09
1745558143.8645353,-0.25,9.15,0.09
1745558144.6513684,-0.25,9.15,0.09
1745558145.460093,-0.25,9.15,0.09
1745558146.2673504,-0.25,9.15,0.09
1745558147.0755007,-0.25,9.15,0.09
1745558147.84857,-0.25,9.15,0.09
1745558148.6589851,-0.25,9.15,0.09
1745558149.4619439,-0.25,9.15,0.09
1745558150.266361,-0.25,9.15,0.09
1745558151.0587802,-0.25,9.15,0.09
1745558151.8621132,-0.25,9.15,0.09
1745558152.6717556,-0.25,9.15,0.09
1745558153.4695883,-0.25,9.15,0.09
1745558154.2624886,-0.25,9.15,0.09
1745558155.051989,-0.25,9.15,0.09
1745558155.8458028,-0.25,9.15,0.09
1745558156.6533751,-0.25,9.15,0.09
1745558157.397436,-0.25,9.15,0.09
1745558158.0796902,-0.25,9.15,0.09
1745558159.4657874,-0.25,9.15,0.09
1745558160.676198,-0.25,9.15,0.09
1745558161.6174784,-0.25,9.15,0.09
1745558162.7803319,-0.25,9.15,0.09
1745558163.6022406,-0.25,9.15,0.09
1745558165.0709991,-0.25,9.15,0.09
1745558166.1789248,-0.25,9.15,0.09
1745558167.1609344,-0.25,9.15,0.09
1745558167.9818175,-0.25,9.15,0.09
1745558168.8761058,-0.25,9.15,0.09
1745558169.8295412,-0.25,9.15,0.09
1745558170.8390274,-0.25,9.15,0.09
1745558171.839545,-0.25,9.15,0.09
1745558173.1653092,-0.25,9.15,0.09
1745558174.3407204,-0.25,9.15,0.09
1745558175.5523179,-0.25,9.15,0.09
1745558176.493939,-0.25,9.15,0.09
1745558177.4840655,-0.25,9.15,0.09
1745558178.6611054,-0.25,9.15,0.09
1745558179.556,-0.25,9.15,0.09
1745558180.4166603,-0.25,9.15,0.09
1745558181.2724166,-0.25,9.15,0.09
1745558182.135008,-0.25,9.15,0.09
1745558182.9293776,-0.25,9.15,0.09
1745558183.75288,-0.25,9.15,0.09
1745558184.6066003,-0.25,9.15,0.09
1745558185.40948,-0.25,9.15,0.09
1745558186.2574472,-0.25,9.15,0.09
1745558187.0712688,-0.25,9.15,0.09
1745558187.8606284,-0.25,9.15,0.09
1745558188.6668587,-0.25,9.15,0.09
1745558189.5007296,-0.25,9.15,0.09
1745558190.3238883,-0.25,9.15,0.09
1745558191.1271844,-0.25,9.15,0.09
1745558191.9441347,-0.25,9.15,0.09
1745558192.7492757,-0.25,9.15,0.09
1745558193.5410993,-0.25,9.15,0.09
1745558194.3685126,-0.25,9.15,0.09
1745558195.1729124,-0.25,9.15,0.09
1745558195.9892557,-0.25,9.15,0.09
1745558196.8031504,-0.25,9.15,0.09
1745558197.5993052,-0.25,9.15,0.09
1745558198.399297,-0.25,9.15,0.09
1745558199.226702,-0.25,9.15,0.09
1745558200.0172863,-0.25,9.15,0.09
1745558200.8430085,-0.25,9.15,0.09
1745558201.654513,-0.25,9.15,0.09
1745558202.4706616,-0.25,9.15,0.09
1745558203.2623534,-0.25,9.15,0.09
1745558204.079541,-0.25,9.15,0.09
1745558204.8825006,-0.25,9.15,0.09
1745558205.6837218,-0.25,9.15,0.09
1745558206.5024855,-0.25,9.15,0.09
1745558207.3128557,-0.25,9.15,0.09
